Node Start,Node End,Stretch Length (km),Channel Type,Persistency Index (P_i),2024_03_09,2024_04_06,2024_04_20,2024_04_29,2024_05_04,2024_05_16,2024_05_29,2024_06_01,2024_06_03,2024_06_17,2024_06_29,2024_07_20,2024_07_24,2024_07_27,2024_07_29,2024_08_12,2024_08_21,2024_08_24,2024_08_26,2024_09_14,2024_09_18,2024_09_21,2024_09_23,2024_10_23,2024_11_23,2025_01_18,2025_04_05
40,39,0.713785,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
41,g6,1.455607,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
42,41,1.912292,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
43,42,0.251831,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
44,43,1.10967,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
45,g10,0.10754,Lined,0.9423076923076923,Not enough information,Active,Disconnected,Disconnected,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Active
46,47,0.266548,Natural,0.16,Not enough information,Not enough information,Disconnected,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Disconnected,Not Active,Disconnected,Not Active,Active
47,45,1.839769,Lined,0.56,Not enough information,Not enough information,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Disconnected,Active,Disconnected,Active,Disconnected,Active
48,49,0.164138,Natural,0.94,Not enough information,Not enough information,Disconnected,Disconnected,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Active
49,50,0.405086,Lined,0.94,Not enough information,Not enough information,Disconnected,Disconnected,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Active
